2022-05-21 07:51:03,781 [http-nio-8080-exec-1] INFO  LOG_TO_FILE - Tables were created from sql file
2022-05-21 09:09:30,510 [http-nio-8080-exec-2] INFO  LOG_TO_FILE - Save payment to DB : Payment{id=0, templateId=10000002, cardNumber='4485578898964236', sum=200.55, status='new', creationDateTime=null, statusChangedDateTime=null}
2022-05-21 09:09:33,548 [http-nio-8080-exec-3] INFO  LOG_TO_FILE - Save payment to DB : Payment{id=0, templateId=10000003, cardNumber='4485578898964237', sum=500.55, status='new', creationDateTime=null, statusChangedDateTime=null}
2022-05-21 09:09:36,209 [http-nio-8080-exec-4] INFO  LOG_TO_FILE - Save payment to DB : Payment{id=0, templateId=10000004, cardNumber='4485578898964238', sum=1000.55, status='new', creationDateTime=null, statusChangedDateTime=null}
2022-05-21 09:15:52,761 [http-nio-8080-exec-1] INFO  LOG_TO_FILE - UserBillingAddress{id=1000001, billingAddress='Ivanov Ivan,Kashtanovaya str, Kyiv 45005', userContact='0993505050'}
2022-05-21 09:15:52,762 [http-nio-8080-exec-1] INFO  LOG_TO_FILE - UserBillingAddress{id=1000002, billingAddress='Ivanov Ivan,Abrikosovaya str, Lviv, 90009', userContact='0993505050'}
2022-05-21 09:21:34,199 [http-nio-8080-exec-1] INFO  LOG_TO_FILE - Select from DB : User{fio='Ivanov Ivan, email='i.ivanov@gmail.com, phone='0993505050}
2022-05-21 09:21:39,340 [http-nio-8080-exec-2] INFO  LOG_TO_FILE - Select from DB : UserBillingAddress{id=1000001, billingAddress='Ivanov Ivan,Kashtanovaya str, Kyiv 45005', userContact='0993505050'}
2022-05-21 09:21:39,341 [http-nio-8080-exec-2] INFO  LOG_TO_FILE - Select from DB : UserBillingAddress{id=1000002, billingAddress='Ivanov Ivan,Abrikosovaya str, Lviv, 90009', userContact='0993505050'}
2022-05-21 09:21:47,697 [http-nio-8080-exec-3] INFO  LOG_TO_FILE - Select from DB : Payment{id=100000002, templateId=10000001, cardNumber='4485578898964235', sum=100.55, status='paid', creationDateTime=2022-05-21T09:09:26.392899, statusChangedDateTime=2022-05-21T09:13:42.931052}
2022-05-21 09:21:47,699 [http-nio-8080-exec-3] INFO  LOG_TO_FILE - Select from DB : Payment{id=100000003, templateId=10000002, cardNumber='4485578898964236', sum=200.55, status='paid', creationDateTime=2022-05-21T09:09:30.508515, statusChangedDateTime=2022-05-21T09:13:42.941054}
2022-05-21 09:21:47,699 [http-nio-8080-exec-3] INFO  LOG_TO_FILE - Select from DB : Payment{id=100000005, templateId=10000004, cardNumber='4485578898964238', sum=1000.55, status='failed', creationDateTime=2022-05-21T09:09:36.207696, statusChangedDateTime=2022-05-21T09:13:42.943049}
2022-05-21 09:21:47,699 [http-nio-8080-exec-3] INFO  LOG_TO_FILE - Select from DB : Payment{id=100000004, templateId=10000003, cardNumber='4485578898964237', sum=500.55, status='paid', creationDateTime=2022-05-21T09:09:33.545129, statusChangedDateTime=2022-05-21T09:15:32.201338}
2022-05-21 09:22:34,104 [http-nio-8080-exec-4] INFO  LOG_TO_FILE - Select from DB : Template{templateID=10000001, templateName='Template 1', iban='UA903052992990004149123456701', paymentPurpose='Purpose 1', userContact='0993505050'}
2022-05-21 09:22:34,105 [http-nio-8080-exec-4] INFO  LOG_TO_FILE - Select from DB : Template{templateID=10000002, templateName='Template 2', iban='UA903052992990004149123456702', paymentPurpose='Purpose 2', userContact='0993505050'}
2022-05-21 09:22:34,105 [http-nio-8080-exec-4] INFO  LOG_TO_FILE - Select from DB : Template{templateID=10000003, templateName='Template 3', iban='UA903052992990004149123456703', paymentPurpose='Purpose 3', userContact='0993505050'}
2022-05-21 09:22:34,105 [http-nio-8080-exec-4] INFO  LOG_TO_FILE - Select from DB : Template{templateID=10000004, templateName='Template 4', iban='UA903052992990004149123456704', paymentPurpose='Purpose 4', userContact='0993505050'}
2022-05-21 09:23:34,857 [http-nio-8080-exec-1] INFO  LOG_TO_FILE - Select from DB : User(fio=Ivanov Ivan, email=i.ivanov@gmail.com, phone=0993505050)
